DrugID,Formula,DrugName,Target,Disease,NewDisease
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB01254,C22H26ClN7O2S,Dasatinib,SRC; LCK; FYN; BCR; ABL1,Chronic myelogenous leukaemia; Multiple myeloma,Type III EBV+ B cell malignancies
DB01091,C23H27N,Butenafine,ERG1,Dermatologic infection,Visceral Leishmaniasis
DB08865,C21H22Cl2FN5O,Crizotinib,MET; ALK; ROS1,Non-small-cell lung cancer,Gram-Positive Bacteria
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB06145,C43H74N2O14,Spiramycin,Gram-positive bacteria,Bacterial infection,Anti-inflammatory
DB00740,C8H5F3N2OS,Riluzole,SCNBA,Amyotrophic lateral sclerosis,"Niemann-Pick disease, type C1"
DB00973,C24H21F2NO3,Ezetimibe,NPCL1,Hypercholesterolaemia,Visceral leishmaniasis
DB05766,,Norclozapine,ACM1,Schizophrenia,Dengue Virus
DB08908,C6H8O4,Dimethyl Fumarate,Nrf2,Multiple Sclerosis,Parkinson's Disease
DB11594,C22H40NO,Domiphen,fungal CYP450 14?¡À-lanosterol demethylase,Fungal infection,Candida infections
DB00358,C17H16F6N2O,Mefloquine,Plasmodium falciparum,Malaria,Pathogenic yeasts and molds
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB01782,C14H8N2O,Pyrazolanthrone,TTK; MK08; MK09; MK10,Oxidative stress; Neuroinflammation; Brain degeneration,Neuroinflammation Induced by MCAO
DB08882,C25H28N8O2,Linagliptin,DPP4,Type-2 diabetes,Colorectal cancer
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB09241,C16H18ClN3S,Methylene blue,methemoglobin,Acquired methemoglobinemia,SARS-CoV-2
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,SARS-CoV-2
DB00641,C25H38O5,Simvastatin,HMDH,Hypercholesterolaemia,Antibacterial
DB00313,C8H16O2,Valproic acid,GSK3A,Epilepsy; Hypercholesterolemia; Coronavirus Disease 2019 (COVID-19),Prostate cancer
DB00328,C19H16ClNO4,Indomethacin,PGH2,Allergy; Asthma; Rheumatoid arthritis,SARS-CoV-2 infection
DB09019,C14H20Br2N2,Bromhexine,Mucin,Sjogren syndrome,Antiallodynic agent
DB01076,C33H35FN2O5,Atorvastatin,HMDH,Cardiovascular disease,Vulvovaginal and oral candidiasis
DB00704,C20H23NO4,Naltrexone,opioid receptors,Chronic alcoholism; Coronavirus Disease 2019 (COVID-19),Inflammatory
DB01188,C12H17NO2,Ciclopirox,cell membrane,Fungal infection,Non-small cell lung cancer (NSCLC)
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Schistosomiasis
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB00966,C33H30N4O2,Telmisartan,AGTR1,Hypertension,Chikungunya
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Coronavirus Disease 2019 (COVID-19),Dengue Virus
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB00320,C33H37N5O5,Dihydroergotamine,DRD2,Headaches; Migraine,Liver fibrosis
DB00922,C14H12N6O,Levosimendan,TNNC1,Congestive heart failure; Heart failure; Cardiac output syndrome; Pulmonary hypertension,Lymphoma
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,SARS-CoV-2
DB01418,C19H15NO6,Acenocoumarol,VKOR1,Thrombosis,"Chronic inflammatory diseases (e.g., atopic dermatitis and psoriasis)"
DB06712,C19H19N3O6,Nilvadipine,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB11760,C19H14F2N6O,Talazoparib,PARP,Breast cancer; Psoriatic arthritis,SARS-CoV-2
DB03880,C23H31N3O4S2,Batimastat,MMP3,Idiopathic pulmonary fibrosis; Tissue repair disorder; Tumor development; Inflammatory disorder,"Venom of the western diamondback rattlesnake, Crotalus atrox"
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB00320,C33H37N5O5,Dihydroergotamine,DRD2,Headaches; Migraine,Liver fibrosis
DB00284,C25H43NO18,Acarbose,alpha-glucosidase enzymes,Diabetic complication; Type-2 diabetes; Cardiovascular disease,Visceral leishmaniasis
DB09074,C24H23FN4O3,Olaparib,PARP,Ovarian cancer; Pancreatic cancer; Prostate cancer,Sepsis
DB06555,C30H31FN2O,Siramesine,ADA1A; ADA1B; ADA1D,Depression; Anxiety,Fungal infections
DB01167,C35H38Cl2N8O4,Itraconazole,CP51,Fungal infection,Visceral leishmaniasis
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Chronic Liver Thrombocytopenia; Idiopathic thrombocytopenic purpura,SARS-CoV-2
DB09238,C35H38N4O6,Manidipine,CYSP,Hypertension,Human cytomegalovirus (HCMV) infections
DB16607,ClLi,Lithium chloride,GSK3A,Bipolar disorder; Methhemeglobinemia,Neurological deficits associated with OP exposure
DB08901,C29H27F3N6O,Ponatinib,RET; FLT3; KIT; ABL1; BCR,Chronic myeloid leukemia; Acute lymphoblastic leukaemia,KIT-mutation-bearing melanomas
DB00922,C14H12N6O,Levosimendan,TNNC1,Congestive heart failure; Heart failure; Cardiac output syndrome; Pulmonary hypertension,Lymphoma
DB00495,C10H13N5O4,Zidovudine,FLT3; POL,Human immunodeficiency virus infection,Multidrug-resistant (MDR) Enterobacterales
DB01254,C22H26ClN7O2S,Dasatinib,SRC; LCK; FYN; BCR; ABL1,Chronic myelogenous leukaemia; Multiple myeloma,Type III EBV+ B cell malignancies
DB05766,,Norclozapine,ACM1,Schizophrenia,Dengue Virus
DB09017,C15H10BrClN4S,Canagliflozin,SC5A2,Type-1 diabetes; Type-2 diabetes; Diabetic nephropathy,Blood-brain barrier crossing ability
DB06712,C19H19N3O6,Nilvadipine,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00540,C19H21N,Nortriptyline,SC6A4,Bladder cancer; Depression,Multiple myeloma
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB00740,C8H5F3N2OS,Riluzole,SCNBA,Amyotrophic lateral sclerosis,"Niemann-Pick disease, type C1"
DB06272,C26H42O4,Maxacalcitol,VDR,Psoriasis; Disorder of calcium metabolism,Influenza vaccine
DB01418,C19H15NO6,Acenocoumarol,VKOR1,Thrombosis,"Chronic inflammatory diseases (e.g., atopic dermatitis and psoriasis)"
DB01103,C23H30ClN3O,Quinacrine,PA21B,African sleeping sickness; African river blindness,SARS-CoV-2
DB00344,C19H21N,Protriptyline,SC6A2,Depression,Alzheimer's disease
DB06401,C30H34N2O3,Bazedoxifene,ESR1,Osteopetrosis,Persistent HPV (Human Papillomavirus) infection
DB00715,C19H20FNO3,Paroxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Schistosomiasis
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Immune-mediated diseases
DB00920,C19H19NOS,Ketotifen,HRH1,Allergic conjunctivitis; Allergic rhinitis; Bronchial asthma,Neuroendocrine prostate cancer
DB00715,C19H20FNO3,Paroxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB11594,C22H40NO,Domiphen,fungal CYP450 14?¡À-lanosterol demethylase,Fungal infection,Candida infections
DB00549,C31H33N3O6S,Zafirlukast,CLTR1,Asthma,Tuberculosis
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB01175,C20H21FN2O,Escitalopram,SC6A4,Depression,Alzheimer's disease (AD)
DB00455,C22H23ClN2O2,Loratadine,HRH1,Allergy; Allergic rhinitis,Liver Cancer
DB12466,C5H4FN3O2,Favipiravir,RPOA; RPOB; RPOC; RPOZ,Influenza virus infection,Type I diabetes
DB01100,C28H29F2N3O,Pimozide,DRD2,Schizophrenia,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses
DB00786,C15H29N3O5,Marimastat,MMP1; MMP2; MMP7,Pancreatic cancer; Lung cancer; Tissue repair disorder; Tumor development; Inflammatory disorder,"Venom of the western diamondback rattlesnake, Crotalus atrox"
DB08908,C6H8O4,Dimethyl Fumarate,Nrf2,Multiple Sclerosis,Parkinson's Disease
DB00811,C8H12N4O5,Ribavirin,IMDH1,Hepatitis C virus infection,Type I diabetes
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,NSCLC
DB01234,C22H29FO5,Dexamethasone,GCR,Coronavirus Disease 2019 (COVID-19),Dedifferentiated liposarcoma
DB09241,C16H18ClN3S,Methylene blue,methemoglobin,Acquired methemoglobinemia,SARS-CoV-2
DB01117,C22H19ClO3,Atovaquone,PYRD,Pneumocystis pneumonia; Fungal infection,Triple-negative breast cancer (TNBC)
DB00328,C19H16ClNO4,Indomethacin,PGH2,Rheumatoid arthritis,Dedifferentiated liposarcoma
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Cancer
DB01254,C22H26ClN7O2S,Dasatinib,SRC; LCK; FYN; BCR; ABL1,Chronic myelogenous leukaemia; Multiple myeloma,Type III EBV+ B cell malignancies
DB01117,C22H19ClO3,Atovaquone,PYRD,Pneumocystis pneumonia; Fungal infection,Triple-negative breast cancer (TNBC)
DB01110,C18H14Cl4N2O,Miconazole,CP51,Fungal infection,Candida infections
DB00715,C19H20FNO3,Paroxetine,SC6A4,Depression; Anxiety,Human colon cancer
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB00540,C19H21N,Nortriptyline,SC6A4,Bladder cancer; Depression,Multiple myeloma
DB01100,C28H29F2N3O,Pimozide,DRD2,Schizophrenia,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses
DB00320,C33H37N5O5,Dihydroergotamine,DRD2,Headaches; Migraine,Liver fibrosis
DB01175,C20H21FN2O,Escitalopram,SC6A4,Depression,Alzheimer's disease (AD)
DB00615,C46H62N4O11,Rifabutin,RNA polymerase,Mycobacterium infection; Tuberculosis,M. abscessus lung disease
DB00811,C8H12N4O5,Ribavirin,IMDH1,Hepatitis C virus infection,Type I diabetes
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Neuroendocrine prostate cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,Breast cancer lung metastasis
DB01188,C12H17NO2,Ciclopirox,cell membrane,Fungal infection,Non-small cell lung cancer (NSCLC)
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB06292,C21H25ClO6,Dapagliflozin,SC5A2,Type-2 diabetes,Blood-brain barrier crossing ability
DB00321,C20H23N,Amitriptyline,SC6A4; SC6A2,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00571,C16H21NO2,Propranolol,ADRB1,Migraine,Colorectal cancer
DB06282,C21H25ClN2O3,Levocetirizine,transmembrane G protein-coupled receptors; histamine H1 receptors,"Cutaneous, respiratory, and ocular allergies",Alopecia
DB01058,C19H24N2O2,Praziquantel,HPGDS,Schistosomiasis,Psoriasis
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Multiple myeloma
DB09115,C9H5I2NO,Diiodohydroxyquinoline,cytochrome b,fungal infection; Parasitic infection,Cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis; African sleeping sickness; African river blindness,SARS-CoV-2
DB07615,C18H17NO5,Tranilast,HRH1; STS,Bronchial asthma; allergic rhinitis; Ocular allergy,Neuropathic Pain
DB00912,C27H36N2O4,Repaglinide,ABCC8; ABCC9,Diabetic complication,Glioblastoma multiforme
DB05105,C18H18F3N3O3,Pleconaril,CAPSD,Virus infection,Type I diabetes
DB08865,C21H22Cl2FN5O,Crizotinib,MET; ALK; ROS1,Non-small-cell lung cancer,Gram-Positive Bacteria
DB01254,C22H26ClN7O2S,Dasatinib,SRC; LCK; FYN; BCR; ABL1,Chronic myelogenous leukaemia; Multiple myeloma,Type III EBV+ B cell malignancies
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB00520,C52H88N10O15,Caspofungin,Fungal cell wall,Fungal infection,Alzheimer's disease
DB01117,C22H19ClO3,Atovaquone,PYRD,Pneumocystis pneumonia; Fungal infection,Triple-negative breast cancer (TNBC)
DB06401,C30H34N2O3,Bazedoxifene,ESR1,Osteopetrosis,Persistent HPV (Human Papillomavirus) infection
DB14480,C5H10N2O2S,Acetylcysteine amide,glutathione,Acetaminophen toxicity,Dengue
DB00477,C17H19ClN2S,Chlorpromazine,DRD2,Malaria; Adenovirus; Schizophrenia,Crimean-Congo hemorrhagic fever virus
DB08901,C29H27F3N6O,Ponatinib,RET; FLT3; KIT; ABL1; BCR,Acute lymphoblastic leukaemia; Chronic myeloid leukemia,Tumor
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malaria,Acute myeloid leukemia
DB12834,C7H11N3O3,Secnidazole,Anaerobic microorganisms,Pseudomonas aeruginosa; Bacterial vaginosis; Amoebiasis,Pseudomonas aeruginosa Infection
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB00507,C12H9N3O5S,Nitazoxanide,PNO,Diarrhea,Quiescent and glucose-deprived clonogenic colon tumour cells
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB08882,C25H28N8O2,Linagliptin,DPP4,Type-2 diabetes,Colorectal cancer
DB00520,C52H88N10O15,Caspofungin,Fungal cell wall,Fungal infection,Alzheimer's disease
DB01188,C12H17NO2,Ciclopirox,cell membrane,Fungal infection,Non-small cell lung cancer (NSCLC)
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malarial,Malignant Pleural Mesothelioma
DB00520,C52H88N10O15,Caspofungin,Fungal cell wall,Fungal infection,Alzheimer's disease
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB00507,C12H9N3O5S,Nitazoxanide,PNO,Diarrhea,Quiescent and glucose-deprived clonogenic colon tumour cells
DB00788,C14H14O3,Naproxen,PGH2; PGH1,Osteoarthritis; Pain,Influenza A virus.
DB00203,C22H30N6O4S,Sildenafil,PDE5,Erectile dysfunction; Coronavirus Disease 2019 (COVID-19),Lung cancer
DB00358,C17H16F6N2O,Mefloquine,Plasmodium falciparum,Malaria,Pathogenic yeasts and molds
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Neuroendocrine prostate cancer
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB08908,C6H8O4,Dimethyl Fumarate,Nrf2,Multiple Sclerosis,Parkinson's Disease
DB00602,C95H146O28,Lvermectin,Glutamate-gated chloride channels in parasites,Parasitic infestations,Covid-19
DB00788,C14H14O3,Naproxen,PGH2; PGH1,Osteoarthritis; Pain,Influenza A virus.
DB00602,C95H146O28,Ivermectin,GABA,Onchocerciasis,Tegumentary leishmaniasis
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Chikungunya virus (CHIKV)
DB01103,C23H30ClN3O,Quinacrine,PA21B,Plasmodium infection; Giardia infection,Atheter-related bloodstream infections
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB01076,C33H35FN2O5,Atorvastatin,HMDH,Cardiovascular disease,Vulvovaginal and oral candidiasis
DB01234,C22H29FO5,Dexamethasone,GCR,Coronavirus Disease 2019 (COVID-19),Dedifferentiated liposarcoma
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic disease; Asthma,Pancreatic cancer
DB07954,C10H14N4O2,3-isobutyl-1-methyl-7H-xanthine,AA2BR; PDE4B; PDE4D; PDE5A; PDE4A; AA2AR; AA1R; AA3R; PDE2A; PDE3A,Chronic obstructive pulmonary disease; Bronchial Asthma,Dedifferentiated liposarcoma
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB01407,C12H18Cl2N2O,Clenbuterol,ADRB2,Asthma; Chronic breathing disorder,Down syndrome
DB00412,C18H19N3O3S,Rosiglitazone,PPAR-?3,Diabete,Human adenoviruses (HAdVs
DB00920,C19H19NOS,Ketotifen,HRH1,Allergic conjunctivitis; Allergic rhinitis; Bronchial asthma,Neuroendocrine prostate cancer
DB06803,C13H8Cl2N2O4,Niclosamide,ATP synthase,Cestodes infection,Diabetesa€?induced endothelial dysfunction
DB00788,C14H14O3,Naproxen,PGH2; PGH1,Osteoarthritis; Pain,Influenza A virus.
DB01051,C31H36N2O11,Novobiocin,TOP2A; TOP2B,Bacterial infection,Chikungunya
DB00973,C24H21F2NO3,Ezetimibe,NPCL1,Hypercholesterolaemia,Visceral leishmaniasis
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,NSCLC
DB06272,C26H42O4,Maxacalcitol,VDR,Psoriasis; Disorder of calcium metabolism,Influenza vaccine
DB01069,C17H20N2S,Promethazine,HRH1,Nausea,Colorectal cancer
DB16607,ClLi,Lithium chloride,GSK3A,Bipolar disorder; Methhemeglobinemia,Neurological deficits associated with OP exposure
DB00740,C8H5F3N2OS,Riluzole,SCNBA,Amyotrophic lateral sclerosis,"Niemann-Pick disease, type C1"
DB00481,C28H27NO4S,Raloxifene,ESR1,Osteoporosis,Liver Cancer
DB16607,ClLi,Lithium chloride,GSK3A,Bipolar disorder; Methhemeglobinemia,Neurological deficits associated with OP exposure
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB14480,C5H10N2O2S,Acetylcysteine amide,glutathione,Acetaminophen toxicity,Dengue
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB09241,C16H18ClN3S,Methylene blue,methemoglobin,Bipolar disorder; Methhemeglobinemia; Acquired methemoglobinemia,Neurological deficits associated with OP exposure
DB12783,C10H15N3O5,Benserazide,DDC,Parkinson,Tumor
DB06782,C3H8OS2,Dimercaprol,Heavy metal ions,Poison intoxication,Snakebite
DB00740,C8H5F3N2OS,Riluzole,SCNBA,Amyotrophic lateral sclerosis,"Niemann-Pick disease, type C1"
DB00972,C22H24ClN3O,Azelastine,HRH1,Allergic conjunctivitis,Colorectal cancer
DB00641,C25H38O5,Simvastatin,HMDH,Hypercholesterolaemia,Antibacterial
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB00535,C14H13N5O5S2,Cefdinir,Bacterial cell wall,Bacterial infection,Tuberculosis (TB)
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,HCMV
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,Cryptococcosis
DB01188,C12H17NO2,Ciclopirox,cell membrane,Fungal infection,Non-small cell lung cancer (NSCLC)
DB00828,C3H7O4P,Fosfomycin,MURA,Bacterial infection,Multidrug-resistant (MDR) Enterobacterales
DB00571,C16H21NO2,Propranolol,ADRB1,Migraine,Colorectal cancer
DB01782,C14H8N2O,Pyrazolanthrone,TTK; MK08; MK09; MK10,Oxidative stress; Neuroinflammation; Brain degeneration,Neuroinflammation Induced by MCAO
DB00788,C14H14O3,Naproxen,PGH2; PGH1,Allergy; Asthma; Osteoarthritis; Pain,SARS-CoV-2 infection
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB00321,C20H23N,Amitriptyline,SC6A4; SC6A2,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB00203,C22H30N6O4S,Sildenafil,PDE5,Erectile dysfunction; Coronavirus Disease 2019 (COVID-19),Lung cancer
DB00972,C22H24ClN3O,Azelastine,HRH1,Allergic conjunctivitis,Colorectal cancer
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Immune-mediated diseases
DB01418,C19H15NO6,Acenocoumarol,VKOR1,Thrombosis,"Chronic inflammatory diseases (e.g., atopic dermatitis and psoriasis)"
DB01091,C23H27N,Butenafine,ERG1,Dermatologic infection,Visceral Leishmaniasis
DB12422,C6H11NOS2,Sulforaphane,Nrf2,Solid tumour/cancer,Ovarian cancer
DB00412,C18H19N3O3S,Rosiglitazone,PPAR-?3,Diabete,Human adenoviruses (HAdVs
DB01167,C35H38Cl2N8O4,Itraconazole,CP51,Fungal infection,Visceral leishmaniasis
DB00975,C24H40N8O4,Dipyridamole,PDE5A,Hypertension,Lymphoid neoplasms
DB00828,C3H7O4P,Fosfomycin,MURA,Bacterial infection,Multidrug-resistant (MDR) Enterobacterales
DB00321,C20H23N,Amitriptyline,SC6A4; SC6A2,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB01175,C20H21FN2O,Escitalopram,SC6A4,Depression,Alzheimer's disease (AD)
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB00966,C33H30N4O2,Telmisartan,AGTR1,Hypertension,Chikungunya
DB05105,C18H18F3N3O3,Pleconaril,CAPSD,Virus infection,Type I diabetes
DB06555,C30H31FN2O,Siramesine,ADA1A; ADA1B; ADA1D,Depression; Anxiety,Fungal infections
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic disease; Asthma,Pancreatic cancer
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB01076,C33H35FN2O5,Atorvastatin,HMDH,Cardiovascular disease,Vulvovaginal and oral candidiasis
DB08931,C20H19FN8O2,Riociguat,GUC2D,Pulmonary arterial hypertension,Podocyte Injury
DB01175,C20H21FN2O,Escitalopram,SC6A4,Depression,Alzheimer's disease (AD)
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin system,Depression,Alzheimer's disease (AD)
DB00344,C19H21N,Protriptyline,SC6A2,Depression,Alzheimer's disease
DB01407,C12H18Cl2N2O,Clenbuterol,ADRB2,Asthma; Chronic breathing disorder,Down syndrome
DB00560,C29H39N5O8,Tigecycline,F4NA87,Skin infection,Carbapenem-resistant Enterobacteriaceae (CRE)
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB06712,C19H19N3O6,Nilvadipine,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB06272,C26H42O4,Maxacalcitol,VDR,Psoriasis; Disorder of calcium metabolism,Influenza vaccine
DB12466,C5H4FN3O2,Favipiravir,RPOA; RPOB; RPOC; RPOZ,Influenza virus infection,Type I diabetes
DB00481,C28H27NO4S,Raloxifene,ESR1,Osteoporosis,Liver Cancer
DB05105,C18H18F3N3O3,Pleconaril,CAPSD,Virus infection,Type I diabetes
DB00938,C25H37NO4,Salmeterol,ADRB2,Asthma; Chronic obstructive pulmonary disease,Down syndrome
DB00912,C27H36N2O4,Repaglinide,ABCC8; ABCC9,Diabetic complication,Glioblastoma multiforme
DB00535,C14H13N5O5S2,Cefdinir,Bacterial cell wall,Bacterial infection,Tuberculosis (TB)
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,Cryptococcosis
DB00328,C19H16ClNO4,Indomethacin,PGH2,Rheumatoid arthritis,Dedifferentiated liposarcoma
DB01167,C35H38Cl2N8O4,Itraconazole,CP51,Fungal infection,Visceral leishmaniasis
DB00205,C12H13ClN4,Pyrimethamine,FOLR1,Malaria,Lung cancer
DB00726,C20H26N2,Trimipramine,SC6A2,Depression,Small cell lung cancer (SCLC)
DB01418,C19H15NO6,Acenocoumarol,VKOR1,Thrombosis,"Chronic inflammatory diseases (e.g., atopic dermatitis and psoriasis)"
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malaria,Acute myeloid leukemia
DB00515,Cl2H6N2Pt,Cisplatin,TERT,Solid tumour/cancer; Osteosarcoma,Nosocomial pathogen Pseudomonas aeruginosa
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Immune-mediated diseases
DB00938,C25H37NO4,Salmeterol,ADRB2,Chronic obstructive pulmonary disease,Dengue Virus
DB11760,C19H14F2N6O,Talazoparib,PARP,Breast cancer; Psoriatic arthritis,SARS-CoV-2
DB11760,C19H14F2N6O,Talazoparib,PARP,Breast cancer; Psoriatic arthritis,SARS-CoV-2
DB00704,C20H23NO4,Naltrexone,opioid receptors,Chronic alcoholism; Coronavirus Disease 2019 (COVID-19),Inflammatory
DB00495,C10H13N5O4,Zidovudine,FLT3; POL,Human immunodeficiency virus infection,Multidrug-resistant (MDR) Enterobacterales
DB07954,C10H14N4O2,3-isobutyl-1-methyl-7H-xanthine,AA2BR; PDE4B; PDE4D; PDE5A; PDE4A; AA2AR; AA1R; AA3R; PDE2A; PDE3A,Chronic obstructive pulmonary disease; Bronchial Asthma,Dedifferentiated liposarcoma
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Cervical cancer
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB01103,C23H30ClN3O,Quinacrine,PA21B,African sleeping sickness; African river blindness,SARS-CoV-2
DB12466,C5H4FN3O2,Favipiravir,RPOA; RPOB; RPOC; RPOZ,Influenza virus infection,Type I diabetes
DB01782,C14H8N2O,Pyrazolanthrone,TTK; MK08; MK09; MK10,Oxidative stress; Neuroinflammation; Brain degeneration,Neuroinflammation Induced by MCAO
DB09241,C16H18ClN3S,Methylene blue,methemoglobin,Acquired methemoglobinemia,SARS-CoV-2
