DrugName,DrugID,PubChemID,Target,Disease,Side_effect,NewDirectTarget,NewIndirectTarget,NewDisease,Evidence,Insilico,Invitro,Invivo,Clinicaltrial,SupportedSentences,PMID
Sodium oxamate,,5242,LDH,Type 2 diabetes,,,PI3K/AKT,Cervical cancer,Apoptosis antibody array and Western blot; Flow cytometry: Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,Apoptosis antibody array; Western blot; Flow cytometry; Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,,"Through flow cytometry, Western blot, and protein microarray experiments, we found TT-induced apoptosis on HeLa, CaSki, and SiHa through the caspase 3 intrinsic pathway, including the critical proapoptotic proteins BAD, BAX, cytochrome-C, and p21. In addition, mTOR and S6K phosphorylated proteins were inhibited in the three cell lines. Also, we show an anti-migratory activity of the TT, suggesting other targets of the drug combination in the late CC stages.",37223676
Doxorubicin,DB00997,31703,TOP2A; TOP2B; TERT,Type 2 diabetes; Solid tumour/cancer; Hepatocellular carcinoma; Breast cancer,,,PI3K/AKT,Cervical cancer,Apoptosis antibody array and Western blot; Flow cytometry: Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,Apoptosis antibody array; Western blot; Flow cytometry; Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,,"Through flow cytometry, Western blot, and protein microarray experiments, we found TT-induced apoptosis on HeLa, CaSki, and SiHa through the caspase 3 intrinsic pathway, including the critical proapoptotic proteins BAD, BAX, cytochrome-C, and p21. In addition, mTOR and S6K phosphorylated proteins were inhibited in the three cell lines. Also, we show an anti-migratory activity of the TT, suggesting other targets of the drug combination in the late CC stages.",37223676
Metformin,DB00331,4091,ACACB; S47A1,Type-2 diabetes,,,PI3K/AKT,Cervical cancer,Apoptosis antibody array and Western blot; Flow cytometry: Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,Apoptosis antibody array; Western blot; Flow cytometry; Annexin V-FITC apoptosis detection; Terminal deoxynucleotidyl transferase dUTP nick end labelling assay; Wound healing assay,,,"Through flow cytometry, Western blot, and protein microarray experiments, we found TT-induced apoptosis on HeLa, CaSki, and SiHa through the caspase 3 intrinsic pathway, including the critical proapoptotic proteins BAD, BAX, cytochrome-C, and p21. In addition, mTOR and S6K phosphorylated proteins were inhibited in the three cell lines. Also, we show an anti-migratory activity of the TT, suggesting other targets of the drug combination in the late CC stages.",37223676
Dimethyl Fumarate,DB08908,637568,Nrf2,Multiple Sclerosis,,,NRF2,Parkinson's Disease,Immunoblotting; Analysis of mRNA levels by quantitative real-time polymerase chain reaction; Phagocytosis assay; Immunocytochemistry,,Immunoblotting; Analysis of mRNA levels by quantitative real-time polymerase chain reaction; Phagocytosis assay; Immunocytochemistry,,,"These experiments provide a compelling rationale for targeting NRF2 with DMF as a therapeutic strategy to reinforce endogenous brain defense mechanisms against PD-associated synucleinopathy. Conclusion: DMF is ready for clinical validation in PD. Antioxid. Redox Signal. 25, 61a€¡°77.",27009601
Maraviroc,DB04835,3002977,CCR5,Human immunodeficiency virus infection; Chronic obstructive pulmonary disease,,,IL-6 receptor,Metastatic triple-negative breast cancer,Mouse xenograft studies; Immunofluorescence and immunohistochemical analysis,,Immunofluorescence and immunohistochemical analysis,Mouse xenograft,,"Taken together, these studies confirmed that IL-6 and CCL5 function as critical molecules in TNBC growth and metastasis. Furthermore, maraviroc and tocilizumab could be repurposed and provide a new clinical approach to treat TNBC.",29898755
Niclosamide,DB06803,4477,ATP synthase,Cestodes infection,,,S100A4,HMGA2-Overexpressing Human Colorectal Cancer,Bioinformatics Analysis of Public Data; Microarray; Gene Set Enrichment Analysis (GSEA) and Connectivity Map (CMap); RNA Sequencing and Kyoto Encyclopedia of Genes and Genomes (KEGG) Pathway Analysis; RT-qPCR; Western blot; ELISA,Virtual screening,Microarray; RNA Sequencing; RT-qPCR; Western blot; ELISA,,,"The results of RNA sequencing provide an alternative explanation for the selective anticancer activity by downregulating cell cycle-related genes in HMGA2-overexpressing cells. Nevertheless, our study provides a basis for treating HMGA2-overexpressing colorectal cancer by niclosamide, and the exact mechanism of action warrants further investigation.",31581665
Clenbuterol,DB01407,2783,ADRB2,Asthma; Chronic breathing disorder,,,?22-adrenergic receptor,Down syndrome,Isolation and culture of SVZ neural progenitor cells; Neural progenitor cell proliferation and differentiation,,Isolation and culture of SVZ neural progenitor cells; Neural progenitor cell proliferation and differentiation,,,The current results suggest that treatment with ?22-AR agonists may be a therapy of choice in order to correct dendritic development but is not suitable to rescue neurogenesis. It can be envisaged that combined therapy with CLEN or SALM and a drug than restores neurogenesis may represent a potential strategy for the overall restoration of brain development in DS.,32325119
Salmeterol,DB00938,5152,ADRB2,Asthma; Chronic obstructive pulmonary disease,,,?22-adrenergic receptor,Down syndrome,Isolation and culture of SVZ neural progenitor cells; Neural progenitor cell proliferation and differentiation,,Isolation and culture of SVZ neural progenitor cells; Neural progenitor cell proliferation and differentiation,,,The current results suggest that treatment with ?23-AR agonists may be a therapy of choice in order to correct dendritic development but is not suitable to rescue neurogenesis. It can be envisaged that combined therapy with CLEN or SALM and a drug than restores neurogenesis may represent a potential strategy for the overall restoration of brain development in DS.,32325119
Rifabutin,DB00615,6323490,RNA polymerase,Mycobacterium infection; Tuberculosis,,,/,M. abscessus lung disease,Single-point growth inhibition screening assay; Growth inhibition dose-response and bactericidal assays; Rifabutin preexposure assay,,Single-point growth inhibition screening assay; Growth inhibition dose-response and bactericidal assays; Rifabutin preexposure assay,,,"Surprisingly, the rifampin derivative rifabutin had MICs of 3 ?¡À 2 ??M (3 ??g/ml) against the screening strain, the reference strains M. abscessus subsp. abscessus ATCC 19977, M. abscessussubsp. bolletii CCUG 50184-T, and M. abscessus subsp. massiliense CCUG 48898-T, as well as against a collection of clinical isolates. Furthermore, rifabutin was active against clarithromycin-resistant strains. In conclusion, rifabutin, in contrast to rifampin, is active against the Mycobacterium abscessus complex bacteria in vitro and may be considered for treatment of M. abscessus lung disease.",28396540
Liraglutide,DB06655,16134956,GLP1R,Type-2 diabetes; Obesity,,,?2-cell; exendin-4,Type 1 diabetes,Intraperitoneal Glucose Tolerance Test and Insulin Tolerance Test; Immunofluorescence Staining and Histometric Analysis; In vivo Tracking of Liraglutide; Islets and ?2-Cell Line; Gene Expression Analysis,,Intraperitoneal glucose tolerance test; Insulin tolerance test; Immunofluorescence staining and histometric analysis; Islets and ?2-Cell Line; Gene expression analysis,Tracking of Liraglutide,,"In conclusion, liraglutide, a repurposed compound, ameliorates hyperglycemia in experimental type 1 diabetes. Our results point to ?2-cell replacement, including transdifferentiation and neogenesis, as aiding factor. Liraglutide could be a candidate to restore ?2-cell mass in combined therapies, together with an immunomodulatory strategy to arrest autoimmunity.",32477262
Dipyridamole,DB00975,3108,PDE5A,Hypertension,,,phosphodiesterase,Lymphoid neoplasms,Population study; patient study,Population study,,,Patient study,"To sum up, dipyridamole use was associated with a significantly reduced risk of lymphoid neoplasms, especially B-cell lymphoma. Furthermore, dipyridamole use did not increase the incidence of gastrointestinal bleeding.",34553368
Amitriptyline,DB00321,2160,SC6A4; SC6A2,Congestive heart failure; Hypertension; Depression,,,,Epileptic encephalopathy,High-throughput screening; Quantitative PCR methods,High-throughput screening,RT-qPCR,,,"Four drugs of potential clinical interesta€¡±amitriptyline, carvedilol, nilvadipine, and carbamazepinea€¡±were further investigated and demonstrated concentration-dependent inhibition of sodium channel currents.",29574705
Carvedilol,DB01136,2585,Adrenergic receptors,Congestive heart failure; Hypertension; Depression,,,,Epileptic encephalopathy,High-throughput screening; Quantitative PCR methods,High-throughput screening,RT-qPCR,,,"Four drugs of potential clinical interesta€¡±amitriptyline, carvedilol, nilvadipine, and carbamazepinea€¡±were further investigated and demonstrated concentration-dependent inhibition of sodium channel currents.",29574705
Nilvadipine,DB06712,4494,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,,,,Epileptic encephalopathy,High-throughput screening; Quantitative PCR methods,High-throughput screening,RT-qPCR,,,"Four drugs of potential clinical interesta€¡±amitriptyline, carvedilol, nilvadipine, and carbamazepinea€¡±were further investigated and demonstrated concentration-dependent inhibition of sodium channel currents.",29574705
Carbamazepine,DB00564,2554,voltage-gated sodium channels,Congestive heart failure; Hypertension; Depression; Epilepsy; Type-1 diabetes; Gastric adenocarcinoma,,,,Epileptic encephalopathy,High-throughput screening; Quantitative PCR methods,High-throughput screening,RT-qPCR,,,"Four drugs of potential clinical interesta€¡±amitriptyline, carvedilol, nilvadipine, and carbamazepinea€¡±were further investigated and demonstrated concentration-dependent inhibition of sodium channel currents.",29574705
Atorvastatin,DB01076,60823,HMDH,Cardiovascular disease,,,ergosterol,Vulvovaginal and oral candidiasis,In this study we evaluated the antifungal activity of atorvastatin by in vitro tests to determine the minimum inhibitory concentration against azole resistant Candida albicans and its mechanisms of action. Moreover the efficacy of both atorvastatin-loaded oral and vaginal emulgels (0.75% 1.5% and 3% w/w) was evaluated by means of in vivo experimental models of oral and vulvovaginal candidiasis respectively.,,Antifungal susceptibility testing; Sorbitol protection assay; Ergosterol effect assay,Experimental models of oral and vulvovaginal candidiasis,,"The results showed that atorvastatin minimal inhibitory concentration against C. albicans was 31.25 ??g/ml. In oral candidiasis experiments, the group treated with oral emulgel containing 3.0% atorvastatin showcased total reduction in fungal load after nine days of treatment. Intravaginal delivery atorvastatin emulgel showed considerable effectiveness at the concentration of 3% (65% of fungal burden reduction) after nine days of treatment. From these findings, it is possible to assert that atorvastatin may be promising for drug repositioning towards the treatment of these opportunistic mycoses.",32823281
Zidovudine,DB00495,35370,FLT3; POL,Human immunodeficiency virus infection,,,bacterial thymidine kinase,Multidrug-resistant (MDR) Enterobacterales,Checkerboard assay; Timea€¡°kill assay; In vivo toxicity in Galleria mellonella; Galleria mellonella treatment assay,,Checkerboard assay; Timea€¡°kill assay,Toxicity in Galleria mellonella; Galleria mellonella treatment assay,,"Fosfomycin + zidovudine presented greater larval survival (20a€¡°50%) than monotherapy. Synergistic activity was observed for fosfomycin + zidovudine in 69.4% of the tested strains. In vivo experiments confirmed the enhanced effectiveness of the combination. The zidovudine concentrations tested here can be reached in human serum using the actual licensed dosage, therefore this combination deserves further clinical investigation.",34010710
Fosfomycin,DB00828,446987,MURA,Bacterial infection,,,MurA,Multidrug-resistant (MDR) Enterobacterales,Checkerboard assay; Timea€¡°kill assay; In vivo toxicity in Galleria mellonella; Galleria mellonella treatment assay,,Checkerboard assay; Timea€¡°kill assay,Toxicity in Galleria mellonella; Galleria mellonella treatment assay,,"Fosfomycin + zidovudine presented greater larval survival (20a€¡°50%) than monotherapy. Synergistic activity was observed for fosfomycin + zidovudine in 69.4% of the tested strains. In vivo experiments confirmed the enhanced effectiveness of the combination. The zidovudine concentrations tested here can be reached in human serum using the actual licensed dosage, therefore this combination deserves further clinical investigation.",34010710
Deferoxamine,DB00746,2973,Iron ions,Acute iron or aluminum toxicity,,,SRSF7,Pompe disease,RNA sequencing (RNA-seq) and analysis of DEGs; Hybrid EGFP-GAA minigene construction; Western blot,,RNA sequencing (RNA-seq) and analysis of DEGs; Hybrid EGFP-GAA minigene construction; Western blot,,,"In conclusion, our work provides the first reported RNA-based approach for PD drug repurposing. However, the possibility to use Defe in clinical settings might be taken with caution, since the effects of chronic exposure to an iron chelator of patients who do not present iron overload might not be advisable. Nevertheless, our work provides the basis for the development of more potent chemically modified molecules, which either alone or in combination with ERT could improve the clinical outcome in LO-PD patients carrying the c.-32-13T>G variant.",33426149
Disulfiram,DB00822,3117,AL3A2,Alcohol dependence,,,phosphoglycerate dehydrogenase (PHGDH),Cancer,PHGDH Assay; Dilution Experiment; WT and C116S PHGDH Purification; Mass spectrometry experiments Orbitrap Lumos; Cross-linking experiments; Cell models and cytotoxicity assay,,PHGDH assay; Dilution experiment; WT and C116S PHGDH purification; Mass spectrometry; Cross-linking experiments; Cell models and cytotoxicity assay,,,"In conclusion, in this paper, we have shown that DSF, a FDA-approved aldehyde dehydrogenase inhibitor used as a treatment for chronic alcoholism, and some structural analogues are PHGDH inhibitors. Through biochemical and mass spectrometric experiments, we detailed the mechanism-of-inhibition of PHGDH by DSF and demonstrated that it involves the disruption of the active PHGDH tetramer into either an inactive dimer covalently linked by a disulfide bridge involving Cys116 on adjacent monomers or, to a lesser extent, an inactive monomer intermediate.",30894617
Acarbose,DB00284,9811704,alpha-glucosidase enzymes,Diabetic complication; Type-2 diabetes; Cardiovascular disease,,,Th1-type,Visceral leishmaniasis,Cytotoxicity assay; Inhibition of infection by pre-treatment of L. infantum parasites; Evaluation of mitochondrial membrane potential; Production of reactive oxygen species (ROS); Evaluation of lipid accumulation in the parasites,,Cytotoxicity assay; Inhibition of infection by pre-treatment of L. infantum parasites; Evaluation of mitochondrial membrane potential; Production of reactive oxygen species (ROS); Evaluation of lipid accumulation in the parasites,,,"Concordantly, treatment with ACA significantly increased the levels of neutral lipids, suggesting the occurrence of cell disorders followed by parasite death. Despite the fact that preliminary results imply ACA targets the Leishmania mitochondria, additional studies are certainly necessary to confirm its mechanism of action.",33870453
Norclozapine,DB05766,135409468,ACM1,Schizophrenia,,,tumor necrosis factor alpha (TNF-?¡À??¡ë,Dengue Virus,Inhibitor treatments.; RNA transfection.; Quantitative real-time PCR (qRT-PCR).; Immunofluorescence.,,Inhibitor treatments; RNA transfection; RT-qPCR; Immunofluorescence,,,"We identified three compounds, N-desmethylclozapine, fluoxetine hydrochloride, and salmeterol xinafoate, as dengue virus replication inhibitors in a DENV screening assay. All three inhibitors reduced dengue virus infection with IC50s in the high-nanomolar/low-micromolar range. Cells treated with these inhibitors had low levels of dsRNA and negative-strand intermediates. This finding, along with the time-of-addition and RNA transfection experiments, demonstrated that the inhibitors interfered with early stages of dengue virus RNA replication.",27572397
Fluoxetine,DB00472,3386,SC6A4,Coronavirus Disease 2019 (COVID-19),,,tumor necrosis factor alpha (TNF-?¡À??¡ë,Dengue Virus,Inhibitor treatments.; RNA transfection.; Quantitative real-time PCR (qRT-PCR).; Immunofluorescence.,,Inhibitor treatments; RNA transfection; RT-qPCR; Immunofluorescence,,,"We identified three compounds, N-desmethylclozapine, fluoxetine hydrochloride, and salmeterol xinafoate, as dengue virus replication inhibitors in a DENV screening assay. All three inhibitors reduced dengue virus infection with IC50s in the high-nanomolar/low-micromolar range. Cells treated with these inhibitors had low levels of dsRNA and negative-strand intermediates. This finding, along with the time-of-addition and RNA transfection experiments, demonstrated that the inhibitors interfered with early stages of dengue virus RNA replication.",27572397
Salmeterol,DB00938,5152,ADRB2,Chronic obstructive pulmonary disease,,,tumor necrosis factor alpha (TNF-?¡À??¡ë,Dengue Virus,Inhibitor treatments.; RNA transfection.; Quantitative real-time PCR (qRT-PCR).; Immunofluorescence.,,Inhibitor treatments; RNA transfection; RT-qPCR; Immunofluorescence,,,"We identified three compounds, N-desmethylclozapine, fluoxetine hydrochloride, and salmeterol xinafoate, as dengue virus replication inhibitors in a DENV screening assay. All three inhibitors reduced dengue virus infection with IC50s in the high-nanomolar/low-micromolar range. Cells treated with these inhibitors had low levels of dsRNA and negative-strand intermediates. This finding, along with the time-of-addition and RNA transfection experiments, demonstrated that the inhibitors interfered with early stages of dengue virus RNA replication.",27572397
Tranilast,DB07615,5282230,HRH1; STS,Bronchial asthma; allergic rhinitis; Ocular allergy,,,Sepiapterin Reductase,Neuropathic Pain,Molecular Docking; MD Simulations; Cell-Free Direct hSPR Enzyme Activity Assay; Cellular hSPR Activity Assays; Cell Metabolism and Viability Assays; Flow Cytometry of ROS; Western Blot of BH4 Pathway Enzymes & qPCR of Upstream Gene Expressions; BH4 Quantification by QQQ-MS,Molecular docking; MD simulations,Cell-free direct hSPR enzyme activity assay; Cellular hSPR activity assays; Cell metabolism; Viability assays; Flow cytometry of ROS; Western blot,,,Tranilast was able to inhibit hSPR activity both intracellularly and extracellularly in live cells. Triple quad mass spectrophotometry of cell lysates showed a proportional decrease of BH4 in cells treated with tranilast. Our results suggest that tranilast can act as a potent hSPR inhibitor and therefore is a valid candidate for drug repurposing in the treatment of chronic pain.,31460307
Naproxen,DB00788,156391,PGH2; PGH1,Osteoarthritis; Pain,,,Nucleoprotein,Influenza A virus.,Molecular modeling; Protein expression and purification of wt NP and the Y148A R355A and R361A mutants; Fluorescence; SPR experiments; Cell viability assay by MTT assay; Localization of NP in A549 and MDCK cells infected by influenza A virus in the absence or presence of naproxen as detected by immunofluorescence.,Molecular simulations,Protein expression and purification of wt NP and the Y148A R355A and R361A mutants; Fluorescence; SPR experiments; Cell viability assay by MTT assay; Localization of NP in A549 and MDCK cells infected by influenza A virus in the absence or presence of naproxen as detected by immunofluorescence,,,"Naproxen protected Madin-Darby canine kidney (MDCK) cells against viral challenges with the H1N1 and H3N2 viral strains and was much more effective than other cyclooxygenase inhibitors in decreasing viral titers of MDCK cells. In a mouse model of intranasal infection, naproxen treatment decreased the viral titers in mice lungs. In conclusion, naproxen is a promising lead compound for novel antivirals against influenza A virus that targets the nucleoprotein in its RNA binding groove.",23459490
Cardenolide,,53957771,sodium-potassium pump,Cardenolide of Digitalis lanata,,,Th1-type,Visceral leishmaniasis,We report herein the antileishmanial activity of ?2-acetyl-digitoxin (b-AD) a cardenolide isolated from Digitalis lanata leaves assayed in vitro and in vivo against Leishmania infantum. Results showed direct action of b-AD against parasites as well as efficacy for the treatment of Leishmania-infected macrophages. In vivoexperiments using b-AD-containing Pluronic F127 polymeric micelles (b-AD/Mic) to treat L. infantum-infected mice showed that this composition reduced the parasite load in distinct organs in more significant levels. It also induced the development of anti-parasite Th1-type immunity attested by high levels of IFN-?3 IL-12 TNF-?¡À GM-CSF nitrite and specific IgG2a antibodies in addition to low IL-4 and IL-10 contents along with higher IFN-?3-producing CD4+ and CD8+ T-cell frequency.,,Cytotoxicity assay; Reactive oxygen species (ROS) production; Antibody production,Mouse modeling,,"Comparing the therapeutic effect between the treatments, b-AD/Mic was the most effective in protecting animals against infection, when compared to the other groups including miltefosine used as a drug control. Data found 15 days after treatment were similar to those obtained one day post-therapy. In conclusion, the results obtained suggest that b-AD/Mic is a promising antileishmanial agent and deserves further studies to investigate its potential to treat visceral leishmaniasis.",33851916
Atovaquone,DB01117,74989,PYRD,Pneumocystis pneumonia; Fungal infection,,,?¡À6; integrin ?24; FAK; Src; and Vimentin.,Triple-negative breast cancer (TNBC),In order to study the efficacy of atovaquone in suppressing metastasized breast tumor cells in brain and lungs we performed three in vivo experiments. We demonstrated that oral administration of 50 mg/kg of atovaquone suppressed MDA-MB-231 breast tumor growth by 90% in lungs in an intravenous metastatic tumor model. Anti-metastatic effect of atovaquone was further determined by intracardiac injection of 4T1-luc breast tumor cells into the left ventricle of mouse heart.,,,Mouse modeling,,"Our results showed that atovaquone treatment suppressed the growth of metastatic tumors in lungs, liver and brain by 70%, 50% and 30% respectively. In an intracranial model, the growth of HCC1806-luc brain tumors in atovaquone treated mice was about 55% less than that of control. Taken together, our results indicate the anti-metastatic effects of atovaquone in vitro and in vivo in various breast tumor metastasis models.",34071408
Pyrimethamine,DB00205,4993,FOLR1,Malaria,,,AIMP2-DX2,Lung cancer,pyrimethamine inhibited the level of DX2 (IC50 = 0.73 ??M) in A549 cells expressing nanoluciferase-tagged DX2. In a panel of 5 lung cancer cell lines with various DX2 levels pyrimethamine most potently suppressed the growth of H460 cells which express high levels of DX2 (GI50 = 0.01 ??M). An immunoblot assay in H460 cells showed that pyrimethamine decreased the DX2 level dose-dependently but did not affect the AIMP2 level. Further experiments confirmed that pyrimethamine resulted in ubiquitination-mediated DX2 degradation. In an in vivo mouse xenograft assay using H460 cells intraperitoneal administration of pyrimethamine significantly reduced the tumor size and weight comparable with the effects of taxol without affecting body weight.,,Cell experiment,Mouse xenograft,,"Analysis of tumor tissue showed a considerably high concentration of pyrimethamine with a decreased levels of DX2. These results suggest that pyrimethamine, currently used as anti-parasite drug, could be repurposed to treat lung cancer patients expressing high level of DX2.",32549310
Selamectin,DB11459,9578507,Glutamate-gated chloride channels in parasites,"Parasitic diseases such as river blindness, elephantiasis and scabies",,,,Uveal melanoma,Cell counting kit 8 (CCK8) assay; Western blot analysis; RNA isolation and quantitative real-time PCR (qPCR); Connecting map (cMAP) database screening,Virtual screening,Cell counting kit 8 (CCK8) assay; Western blot; RT-qPCR,,,"In summary, our study shows that selamectin enhanced the sensitivity of UM to cisplatin, through the mechanism of inhibiting cisplatin resistance-associated gene expression and autophagy. These findings may provide a new strategy for the treatment of UM.",37087801
Suramin,DB04786,5361,FSHR; HPSE,African trypanosomiasis,,,E2 envelope protein,Chikungunya virus (CHIKV),Virus Attachment Assay; Bulk Fusion Assay; Immunoblotting and RT-PC; Ubiquitination Assay; In Vivo Mouse Xenograft,,Virus attachment assay; Bulk fusion assay; Immunoblotting and RT-PC; Ubiquitination assay,Mouse xenograft,,"Using molecular modelling studies, we predicted the potential suramin binding sites on the mature spikes of the chikungunya virion. We conclude that suramin interferes with CHIKV entry by interacting with the E2 envelope protein, which inhibits attachment and also interferes with conformational changes required for fusion",32191995
Paroxetine,DB00715,43815,SC6A4,Depression; Anxiety,,,receptor tyrosine kinases a€¡° MET and ERBB3,Human colon cancer,Phospho-RTK array ; Western blot analysis; Annexin V apoptosis analyses,,Phospho-RTK array ; Western blot; Annexin V apoptosis analyses,,,"We speculated that the mode of action of paroxetine might be through the inhibition of two major receptor tyrosine kinases a€¡° MET and ERBB3 a€¡° leading to the suppression of AKT, ERK and p38 activation and induction of JNK and caspase-3 pathways. Moreover, in vivo experiments revealed that treatment of athymic nude mice bearing HT-29 cells with paroxetine remarkably suppressed tumour growth. In conclusion, paroxetine is a potential therapeutic option for patients with colorectal cancer.",30421568
Chloroquine,DB00608,2719,ACKR1,Coronavirus Disease 2019 (COVID-19); Adenovirus; Malaria,,,acid vesicles,Crimean-Congo hemorrhagic fever virus,Plaque reduction assay; Analysis of the anti-CCHFV effect of molecule combinations,,Plaque reduction assay; Analysis of the anti-CCHFV effect of molecule combinations,,,"In this study, chloroquine and chlorpromazine were found to inhibit CCHFV replication in vitro, even if added up to 6 h post infection. Moreover when these two molecules were in combination to ribavirin, a synergistic effect was observed in Vero E6 cells.",25796972
Chlorpromazine,DB00477,2726,DRD2,Malaria; Adenovirus; Schizophrenia,,,Huh7 cell line,Crimean-Congo hemorrhagic fever virus,Plaque reduction assay; Analysis of the anti-CCHFV effect of molecule combinations,,Plaque reduction assay; Analysis of the anti-CCHFV effect of molecule combinations,,,"In this study, chloroquine and chlorpromazine were found to inhibit CCHFV replication in vitro, even if added up to 6 h post infection. Moreover when these two molecules were in combination to ribavirin, a synergistic effect was observed in Vero E6 cells.",25796972
Zafirlukast,DB00549,5717,CLTR1,Asthma,,,Lsr2,Tuberculosis,Screening of NCC; Kirby-Bauer disc diffusion assays; Test of the bactericidal activity of zafirlukast; Semiquantitative RT-PCR.; Intensity-fading MALDI-TOF mass spectrometry assay,,Screening of NCC; Kirby-Bauer disc diffusion assays; Test of the bactericidal activity of zafirlukast; Semiquantitative RT-PCR.; Intensity-fading MALDI-TOF mass spectrometry assay,,,"the presented data suggest inhibition of Lsr2 activity by zafirlukast and a concomitant physiological response by mycobacteria to this inhibition. Not only is zafirlukast now identified as a specific inhibitor of Lsr2 function, but also the application of this drug is clearly bactericidal to M. smegmatis.",23439641
Talazoparib,DB11760,44819241,PARP,Breast cancer; Psoriatic arthritis,,,ACE2 receptor,SARS-CoV-2,Plaque assays.; RT-qPCR.; Time-of-addition experiments.,,Plaque assays.; RT-qPCR.; Time-of-addition experiments.,,,"A promising drug to emerge from COVID therapeutic trials is the nucleoside analog remdesivir, which shows activity against phylogenetically diverse viruses, including Ebola virus, Nipah virus, respiratory syncytial virus (RSV), and coronaviruses such as SARS- and MERS-CoV (51), SARS-CoV-2 (31) and, as reported here, the seasonal human HCoV-NL63.",33468703
WZ3146,,44607360,EGFR,Lung cancer,,,spleen tyrosine kinase (Syk) ; inker for activation of T cell (LAT),Allergic diseases,Reverse Transcriptase-Polymerase Chain Reaction (RT-PCR); western blot; Immunoprecipitation and in vitro tyrosine kinase assay; Passive cutaneous anaphylaxis (PCA),,RT-PCR; Western blot; Immunoprecipitation; Tyrosine kinase assay,,,"Taken together, in this study we show that the pyrimidine derivative, WZ3146, inhibits the IgE-mediated allergic response by inhibiting Lyn and Fyn Src-family kinases, which are initially activated by antigen stimulation in MCs. Therefore, we propose that WZ3146 could be used as a new therapeutic agent for the treatment of allergic diseases.",31526816
Montelukast,DB00471,5281040,CLTR1,Allergic disease; Asthma,,,oncogenic genes,Pancreatic cancer,Histopathological Examination; Immunohistochemistry; Cell Cycle Analysis; Immunoblotting; Tissue Samples Clinical Information and CYSLTR1 Expression in PDAC,,Histopathological examination; Immunohistochemistry; Cell cycle analysis; Immunoblotting; Tissue samples clinical information; CYSLTR1 expression in PDAC,,,Our findings suggest that montelukast suppressed pancreatic carcinogenesis by inhibiting the cellular proliferation of pancreatic cancer cells. Widely used anti-allergic drugs may be used as a chemopreventive treatment for pancreatic cancer.,34299067
Mefloquine,DB00358,4046,Plasmodium falciparum,Malaria,,,mitochondrial DNA,Pathogenic yeasts and molds,Yeast strains and general microbiological methods.; In vitro antifungal susceptibility.; In vitro antifungal susceptibility.; In vitro toxicity assays.,,Yeast strains and general microbiological methods.; Antifungal susceptibility; Antifungal susceptibility; Toxicity assays,,,"The mefloquine derivatives have activity against clinical isolates that are resistant to one or more of the three classes of antifungal drugs currently used to treat invasive fungal infections, indicating that they have a novel mechanism of action.",31907188
Quinacrine,DB01103,237,PA21B,Malaria,,,pol-1,Acute myeloid leukemia,Fluorometric microculture cytotoxicity assay a€¡° FMCA; In vivo study of quinacrine alone and in combination with cytarabine,,Fluorometric microculture cytotoxicity assay a€¡° FMCA,Mouse modeling,,"Taken together, the repositioning potential of quinacrine for treatment of AML is reinforced by demonstrating significant in vivo activity and promising synergies when quinacrine is combined with different agents, including cytarabine, the hypomethylating agent azacitidine and HSP-90 inhibitor geldanamycin.",29100024
Secnidazole,DB12834,71815,Anaerobic microorganisms,Pseudomonas aeruginosa; Bacterial vaginosis; Amoebiasis,,Pseudomonas aeruginosa virulence factors,,Pseudomonas aeruginosa Infection,Quantitative RT-PCR of QS genes; Total RNA extraction for qRT-PCR; Total proteases assay; Elastase assay; Hemolysins assay; Rhamnolipids assay; Pyocyanin assay; Pyoverdin assay,,RT-qPCR; Total proteases assay; Elastase assay; Hemolysins assay; Rhamnolipids assay; Pyocyanin assay; Pyoverdin assay,,,"Production of elastase, hemolysins and total proteases was sig- nificantly decreased in secnidazole-treated bacteria compared to un- treated bacteria as shown in (Fig. 3a, b and c)",30500409
Triclosan,DB08604,5564,Q965D5,Malaria,,C75; orlistat,FASN,Prostate cancer,DNA content analysis; Cell culture; Live imaging and Alamar Blue assay; Fluorescence microscopy; Flow cytometry; Western blot; Quantitative real-time PCR,,DNA content analysis; Cell culture; Live imaging and Alamar Blue assay; Fluorescence microscopy; Flow cytometry; Western blot; RT-qPCR,,,Triclosan is cytotoxic in prostate cancer cells; Triclosan causes a G0/G1 cell cycle arrest and induces apoptosis in PCa cells,25313139
